Nombre,Posicion,Edad,Altura,Origen,Equipo,Partidos_jugados,Titutlar,Minutos,Goles,Asistencias,G+A,G-PK,Goles_penalti,Penaltis_tirados,Amarillas,Rojas,Goles_esperadospor_ocasion,Conducciones,Pases,Altura_cm,GA_por_90
Mattia Bani,Defensa central,30,"1,88m",it ITA,Genoa,27,27,2306,2,0,2,2,0,0,9,0,1.2,5.0,37.0,188,0.07805724197745012
Giorgio Cittadini,Defensa central,22,"1,93m",it ITA,Monza,1,0,15,0,0,0,0,0,0,1,0,0.0,1.0,1.0,193,0.0
Alessandro Vogliacco,Defensa central,25,"1,86m",it ITA,Genoa,20,14,1169,0,1,1,0,0,0,4,0,0.4,8.0,49.0,186,0.07698887938408897
Davide Biraschi,Defensa central,29,"1,82m",it ITA,Genoa,1,1,90,1,0,1,1,0,0,0,0,0.1,0.0,5.0,182,1.0
Aarón Martín,Lateral izquierdo,27,"1,78m",es ESP,Genoa,22,17,1376,0,1,1,0,0,0,4,1,0.2,28.0,35.0,178,0.06540697674418604
Ridgeciano Haps,Lateral izquierdo,31,"1,75m",sr SUR,Genoa,16,7,773,0,1,1,0,0,0,0,0,0.1,13.0,13.0,175,0.1164294954721863
Djed Spence,Lateral derecho,23,"1,84m",eng ENG,Genoa,16,8,859,0,0,0,0,0,0,1,0,0.2,17.0,25.0,184,0.0
Stefano Sabelli,Lateral derecho,31,"1,76m",it ITA,Genoa,32,30,2429,0,1,1,0,0,0,5,0,0.8,69.0,88.0,176,0.03705228489090161
Emil Bohinen,Pivote,25,"1,89m",no NOR,Genoa,5,0,56,0,0,0,0,0,0,0,0,0.0,1.0,3.0,189,0.0
Milan Badelj,Pivote,35,"1,86m",hr CRO,Genoa,33,32,2535,1,3,4,1,0,0,6,0,1.4,18.0,151.0,186,0.14201183431952663
Morten Frendrup,Mediocentro,23,"1,78m",dk DEN,Genoa,37,36,3145,2,5,7,2,0,0,6,0,1.7,36.0,105.0,178,0.20031796502384738
Berkan Kutlu,Mediocentro,26,"1,86m",tr TUR,Genoa,6,0,199,0,0,0,0,0,0,0,0,0.2,4.0,5.0,186,0.0
Kevin Strootman,Mediocentro,34,"1,86m",nl NED,Genoa,27,15,1207,0,2,2,0,0,0,4,0,0.1,13.0,61.0,186,0.14913007456503727
